Random Reading Sequence,Title,Author,List Mentions,Original Order,Reading/Read
,Second Treatise,John Locke,8,251,
,Paradise Regained,John Milton,8,252,
,The Miser,Moliére,8,253,
,The Spirit of Laws,Montesquieu,8,254,
,Beyond Good and Evil,Friedrich Nietzsche,8,255,
,Animal Farm,George Orwell,8,256,
,Saint Joan,George Bernard Shaw,8,257,
,The Faerie Queene,Edmund Spenser,8,258,
,The Importance of Being Earnest,Oscar Wilde,8,259,
,A Vindication of the Rights of Woman,Mary Wollstonecraft,8,260,
,Poems,William Wordsworth,8,261,
,Cousin Bette,Honoré de Balzac,7,262,
,Eugenie Grandet,Honoré de Balzac,7,263,
,The Flowers of Evil,Charles Baudelaire,7,264,
,The Principles of Human Knowledge,George Berkeley,7,265,
,Poems,Robert Burns,7,266,
,Dream of the Red Chamber,Cao Xueqin,7,267,
,Troilus and Criseyde,Geoffrey Chaucer,7,268,
,The Seagull,Anton Chekhov,7,269,
,The Rime of the Ancyent Marinere',Samuel Taylor Coleridge,7,270,
,Moll Flanders,Daniel Defoe,7,271,
,Bleak House,Charles Dickens,7,272,
,Hard Times,Charles Dickens,7,273,
,Rameau's Nephew,Denis Diderot,7,274,
,Encyclopaedie,Denis Diderot et al.,7,275,
,Adam Bede,George Eliot,7,276,
,Autobiography of Benjamin Franklin,Benjamin Franklin,7,277,
,The Sorrows of Young Werther,Johann Wolfgang von Goethe,7,278,
,Jude the Obscure,Thomas Hardy,7,279,
,The Hunchback of Notre Dame,Victor Hugo,7,280,
,Rasselas,Samuel Johnson,7,281,
,Autobiography,John Stuart Mill,7,282,
,Le Bourgeois Gentilhomme,Moliére,7,283,
,The Rights of Man,Thomas Paine,7,284,
,The Rape of the Lock,Alexander Pope,7,285,
,Eugene Onegin,Alexander Pushkin,7,286,
,Discourse on Inequality,Jean-Jacques Rousseau,7,287,
,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,7,288,
,The Adventures of Tom Sawyer,Mark Twain,7,289,
,Lyrical Ballads,William Wordsworth; Samuel Taylor Coleridge,7,290,
,Words for Music Perhaps,William Butler Yeats,7,291,
,Little Women,Louisa M Alcott,6,292,
,The Advancement of Learning,Francis Bacon,6,293,
,Stories,Anton Chekhov,6,294,
,Biographia Literaria,Samuel Taylor Coleridge,6,295,
,The Way of the World,William Congreve,6,296,
,Lord Jim,Joseph Conrad,6,297,
,Meditations on First Philosophy,René Descartes,6,298,
,A Christmas Carol,Charles Dickens,6,299,
,Our Mutual Friend,Charles Dickens,6,300,
,Poems,Emily Dickinson,6,301,
,Notes From Underground,Fyodor Dostoevsky,6,302,
,A Study in Scarlet,Arthur Conan Doyle,6,303,
,The Adventures of Sherlock Holmes,Arthur Conan Doyle,6,304,
,Silas Marner,George Eliot,6,305,
,Fables,Jean de la Fontaine,6,306,
,The Vicar of Wakefield,Oliver Goldsmith,6,307,
,The Mayor of Casterbridge,Thomas Hardy,6,308,
,The Philosophy of History,George Wilhelm Friedrich Hegel,6,309,
,Peer Gynt,Henrik Ibsen,6,310,
,A Dictionary of the English Language,Samuel Johnson,6,311,
,The Lives of the English Poets,Samuel Johnson,6,312,
,Poems,John Keats,6,313,
,Joseph Andrews,Henry Fielding,6,314,
,Kim,Rudyard Kipling,6,315,
,The Dangerous Liaisons,Choderlos de Laclos,6,316,
,An Essay on the Principle of Population,Thomas Robert Malthus,6,317,
,Lycidas',John Milton,6,318,
,The Doctor in Spite of Himself,Moliére,6,319,
,Don Juan,Molière,6,320,
,The Imaginary Invalid,Moliére,6,321,
,The School for Wives,Moliére,6,322,
,The Provincial Letters,Blaise Pascal,6,323,
,Stories,Edgar Allan Poe,6,324,
,Andromaque,Jean Racine,6,325,
,A Season in Hill,Arthur Rimbaud,6,326,
,School for Scandal,Richard Brinsley Sheridan,6,327,
,Dracula,Bram Stoker,6,328,
,Uncle Tom's Cabin,Harriet Beecher Stowe,6,329,
,A Modest Proposal,Jonathan Swift,6,330,
,Civil Disobedience,Henry David Thoreau,6,331,
,The New Science,Giambattista Vico,6,332,
,Zadig,Voltaire,6,333,
,Nana,Émile Zola,6,334,
,Fables,Hans Christian Andersen,5,335,
,Persuasion,Jane Austen,5,336,
,The Marriage of Heaven and Hell,William Blake,5,337,
,Jerusalem: The Emanation of the Giant Albion,William Blake,5,338,
,London Journal,James Boswell,5,339,
,Religio Medici,Thomas Browne,5,340,
,Poems,Lord Byron,5,341,
,Childe Harold's Pilgrimage,Lord Byron,5,342,
,The Way of All Flesh,Samuel Butler,5,343,
,The Awakening,Kate Chopin,5,344,
,A Journal of the Plague Year,Daniel Defoe,5,345,
,Nicholas Nickleby,Charles Dickens,5,346,
,Little Dorrit,Charles Dickens,5,347,
,Narrative of the Life of Frederick Douglass,Frederick Douglass,5,348,
,The American Scholar,Ralph Waldo Emerson,5,349,
,Poetry and Truth,Johann Wolfgang von Goethe,5,350,
,Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,5,351,
,She Stoops to Conquer,Oliver Goldsmith,5,352,
,Far From the Madding Crowd,Thomas Hardy,5,353,
,On the Motion of the Heart and Blood in Animals,William Harvey,5,354,
,Elements of the Philosophy of Right,George Wilhelm Friedrich Hegel,5,355,
,An Enemy of the People,Henrik Ibsen,5,356,
,Utilitarianism,John Stuart Mill,5,357,
,Plays,Moliére,5,358,
,The Genealogy of Morals,Friedrich Nietzsche,5,359,
,The Fall of the House of Usher',Edgar Allan Poe,5,360,
,The Murders in the Rue Morgue',Edgar Allan Poe,5,361,
,Essay on Man,Alexander Pope,5,362,
,The Captain's Daughter,Alexander Pushkin,5,363,
,Clarissa,Samuel Richardson,5,364,
,Illuminations,Arthur Rimbaud,5,365,
,Emile,Jean-Jacques Rousseau,5,366,
,Ivanhoe,Walter Scott,5,367,
,Poems,Percy Bysshe Shelley,5,368,
,A Sentimental Journey Through France and Italy,Laurence Sterne,5,369,
,Miss Julie,August Strindberg,5,370,
,The Playboy of the Western World,John Millington Synge,5,371,
,Germania,Cornelius Tacitus,5,372,
,Henry Esmond,William Makepeace Thackeray,5,373,
,The Death of Ivan Ilyich,Leo Tolstoy,5,374,
,The Lives of the Artists,Giorgio Vasari,5,375,
,Twenty Thousand Leagues Under the Sea,Jules Verne,5,376,
,The Grand Testament,François Villon,5,377,
,Letters Concerning the English Nation,Voltaire,5,378,
,The Picture of Dorian Grey,Oscar Wilde,5,379,
,L'Assommoir,Émile Zola,5,380,
,Ulysses,James Joyce,20,381,
,One Hundred Years of Solitude,Gabriel Garcia Marquez,18,382,
,The Great Gatsby,F Scott Fitzgerald,17,383,
,Nineteen Eighty-Four,George Orwell,17,384,
,In Remembrance of Things Past,Marcel Proust,17,385,
,The Trial,Franz Kafka,16,386,
,A Portrait of the Artist as a Young Man,James Joyce,14,387,
,The Metamorphosis,Franz Kafka,14,388,
,The Stranger,Albert Camus,14,389,
,The Sound and the Fury,William Faulkner,13,390,
,Waiting for Godot,Samuel Beckett,12,391,
,Invisible Man,Ralph Ellison,12,392,
,The Magic Mountain,Thomas Mann,12,393,
,To the Lighthouse,Virginia Woolf,12,394,
,The Education of Henry Adams,Henry Adams,11,395,
,The Waste Land',T S Eliot,11,396,
,Lolita,Vladimir Nabokov,11,397,
,The Grapes of Wrath,John Steinbeck,11,398,
,Mrs. Dalloway,Virginia Woolf,11,399,
,Four Quartets,T S Eliot,10,400,
,Catch-22,Joseph Heller,10,401,
,Dubliners,James Joyce,10,402,
,The Castle,Franz Kafka,10,403,
,Things Fall Apart,Chinua Achebe,9,404,
,Brave New World,Aldous Huxley,9,405,
